scale,Vmin,mode,converged
1.000000,0.760000,P_UP,1
1.020000,0.746831,P_UP,1
1.040000,0.732865,P_UP,1
1.060000,0.717998,P_UP,1
1.080000,0.702095,P_UP,1
1.100000,0.684984,P_UP,1
1.120000,0.666432,P_UP,1
1.140000,0.646114,P_UP,1
1.160000,0.623548,P_UP,1
1.180000,0.597967,P_UP,1
1.200000,0.568000,P_UP,1
1.220000,0.530662,P_UP,1
1.240000,0.475743,P_UP,1
